ipeds_id,school_name,school_url
211291,BUCKNELL UNIVERSITY,www.bucknell.edu
162283,COPPIN STATE UNIVERSITY,www.coppin.edu
130934,DELAWARE STATE UNIVERSITY,www.desu.edu
198419,DUKE UNIVERSITY,WWW.DUKE.EDU
191241,FORDHAM UNIVERSITY,www.fordham.edu
232186,GEORGE MASON UNIVERSITY,https://www2.gmu.edu/
131469,GEORGE WASHINGTON UNIVERSITY,https://www.gwu.edu
131496,GEORGETOWN UNIVERSITY,www.georgetown.edu
232423,JAMES MADISON UNIVERSITY,www.jmu.edu/
213385,LAFAYETTE COLLEGE,https://www.lafayette.edu/
213543,LEHIGH UNIVERSITY,www.lehigh.edu
232557,LIBERTY UNIVERSITY,www.liberty.edu
232566,LONGWOOD UNIVERSITY,www.longwood.edu
192703,MANHATTAN COLLEGE,www.manhattan.edu
185572,MONMOUTH UNIVERSITY,www.monmouth.edu
163462,MOUNT ST. MARY'S UNIVERSITY,www.msmary.edu
185828,NEW JERSEY INSTITUTE OF TECHNOLOGY,www.njit.edu/
232937,NORFOLK STATE UNIVERSITY,www.nsu.edu
199157,NORTH CAROLINA CENTRAL UNIVERSITY,www.nccu.edu
232982,OLD DOMINION UNIVERSITY,www.odu.edu
186131,PRINCETON UNIVERSITY,www.princeton.edu
233277,RADFORD UNIVERSITY,https://www.radford.edu
186283,RIDER UNIVERSITY,www.rider.edu
215770,SAINT JOSEPH'S UNIVERSITY,https://www.sju.edu
186432,SAINT PETER'S UNIVERSITY,www.saintpeters.edu
186584,SETON HALL UNIVERSITY,www.shu.edu/
164076,TOWSON UNIVERSITY,www.towson.edu
164155,UNITED STATES NAVAL ACADEMY,www.usna.edu
130943,UNIVERSITY OF DELAWARE,www.udel.edu/
163338,UNIVERSITY OF MARYLAND EASTERN SHORE,www.umes.edu
233374,UNIVERSITY OF RICHMOND,www.richmond.edu
216597,VILLANOVA UNIVERSITY,www.villanova.edu
234030,VIRGINIA COMMONWEALTH UNIVERSITY,https://www.vcu.edu/
197197,WAGNER COLLEGE,www.wagner.edu
238032,WEST VIRGINIA UNIVERSITY,www.wvu.edu
237118,ALDERSON BROADDUS UNIVERSITY,www.ab.edu/
197911,BARTON COLLEGE,https://www.barton.edu/
183822,BLOOMFIELD COLLEGE,www.bloomfield.edu/
211158,BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,www.bloomu.edu
183910,CALDWELL UNIVERSITY,www.caldwell.edu
211361,CALIFORNIA UNIVERSITY OF PENNSYLVANIA,www.calu.edu
211583,CHESTNUT HILL COLLEGE,www.chc.edu
198303,CHOWAN UNIVERSITY,https://www.chowan.edu/
237330,CONCORD UNIVERSITY,www.concord.edu
237358,DAVIS & ELKINS COLLEGE,www.dewv.edu
212115,EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA,www4.esu.edu/
237367,FAIRMONT STATE UNIVERSITY,https://www.fairmontstate.edu/
184612,FELICIAN UNIVERSITY,www.felician.edu
162584,FROSTBURG STATE UNIVERSITY,www.frostburg.edu
237385,GLENVILLE STATE COLLEGE,www.glenville.edu
130989,GOLDEY-BEACOM COLLEGE,www.gbc.edu
213349,KUTZTOWN UNIVERSITY OF PENNSYLVANIA,https://www.kutztown.edu/
213613,LOCK HAVEN UNIVERSITY,www.lockhaven.edu
214041,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA,www.millersville.edu
194310,PACE UNIVERSITY,www.pace.edu
237783,SALEM UNIVERSITY,www.salemu.edu
215947,SETON HILL UNIVERSITY,www.setonhill.edu
237792,SHEPHERD UNIVERSITY,www.shepherd.edu/
216010,SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA,www.ship.edu/
215132,UNIVERSITY OF THE SCIENCES,www.usciences.edu
234155,VIRGINIA STATE UNIVERSITY,www.vsu.edu
216764,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,https://www.wcupa.edu
237969,WEST VIRGINIA WESLEYAN COLLEGE,www.wvwc.edu
131113,WILMINGTON UNIVERSITY,www.wilmu.edu
210571,ALBRIGHT COLLEGE,www.albright.edu
211088,ARCADIA UNIVERSITY,https://www.arcadia.edu
231420,AVERETT UNIVERSITY,https://www.averett.edu
231581,BRIDGEWATER COLLEGE,https://www.bridgewater.edu/about-us
211352,CABRINI UNIVERSITY,www.cabrini.edu
131283,CATHOLIC UNIVERSITY OF AMERICA,https://www.catholic.edu
211556,CHATHAM UNIVERSITY,www.chatham.edu
231712,CHRISTOPHER NEWPORT UNIVERSITY,cnu.edu/
211024,CLARKS SUMMIT UNIVERSITY,https://www.clarkssummitu.edu/
211981,DELAWARE VALLEY UNIVERSITY,www.delval.edu
210739,DESALES UNIVERSITY,www.desales.edu
212009,DICKINSON COLLEGE,www.dickinson.edu
184348,DREW UNIVERSITY,www.drew.edu
232043,EASTERN MENNONITE UNIVERSITY,https://emu.edu
